Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules,measureTreeSize,measureNumLeaves,measureOutOfBagError,measureAttributesUsed,measureNumIterations
klienci6,2,1,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,46.0,54.0,0.0,46.0,54.0,0.0,-0.013133208255159488,0.4041030058084317,0.4570323942782039,99.89734292734722,101.71887800698069,143.59181500889196,146.79817815262632,-3.2063631437343645,1.4359181500889195,1.4679817815262632,-0.03206363143734364,1.6915308085718677,0.016915308085718676,1.1780133905732157,0.8541666666666666,41.0,0.8846153846153846,46.0,0.11538461538461539,6.0,0.14583333333333334,7.0,0.47126436781609193,0.8541666666666666,0.6074074074074075,-0.045233479812358784,0.48677884615384615,0.47282372845650483,0.46,0.4736476426799008,0.5263523573200992,0.54,NaN,0.46,NaN,NaN,0.49460283340065786,0.3918180309604733,NaN,0.46,0.047,0.0,0.046875,0.0,46.875,0.0,8338.0,93853.0,13053.0,100.0,97.66666666666669,?,4.0,?,?,?,?,?
klienci6,2,2,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,49.0,51.0,0.0,49.0,51.0,0.0,0.0485074626865671,0.4022381431926527,0.4541932369880687,99.4363346755819,101.08698429954669,143.59181500889196,146.92948943445415,-3.3376744255621986,1.4359181500889195,1.4692948943445416,-0.03337674425562199,3.436035138150135,0.03436035138150135,2.392918522505867,0.875,42.0,0.8076923076923077,42.0,0.19230769230769232,10.0,0.125,6.0,0.5,0.875,0.6363636363636364,0.09172492321316784,0.5296474358974359,0.49751494119915174,0.49,0.4428535980148884,0.5571464019851117,0.51,NaN,0.49,NaN,NaN,0.5108174158924347,0.41516031958942406,NaN,0.49,0.022,0.0,0.015625,0.0,15.625,0.0,9917.0,93853.0,13053.0,100.0,99.33333333333334,?,7.0,?,?,?,?,?
klienci6,2,3,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,43.0,57.0,0.0,43.0,57.0,0.0,-0.06542056074766361,0.4066276328434062,0.4561636348857593,100.5214499719656,101.52552359323708,143.59181500889196,146.48666519348922,-2.89485018459726,1.4359181500889195,1.464866651934892,-0.0289485018459726,0.9699069745863049,0.00969906974586305,0.6754611845572418,0.8125,39.0,0.8846153846153846,46.0,0.11538461538461539,6.0,0.1875,9.0,0.4588235294117647,0.8125,0.5864661654135339,-0.10090091909944687,0.46694711538461536,0.46324678807693287,0.43,0.49203473945409426,0.5079652605459057,0.57,NaN,0.43,NaN,NaN,0.4726586213861158,0.39672221366672417,NaN,0.43,0.032,0.0,0.03125,0.0,31.25,0.0,8178.0,93853.0,13053.0,100.0,99.33333333333334,?,4.0,?,?,?,?,?
klienci6,2,4,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,43.0,57.0,0.0,43.0,57.0,0.0,-0.05947955390334577,0.40942581618906837,0.461644968987065,101.21318222150921,102.74547027917555,143.59181500889196,153.38889037339783,-9.797075364505872,1.4359181500889195,1.5338889037339782,-0.09797075364505872,1.3123513823624022,0.013123513823624023,0.9139458138899732,0.7916666666666666,38.0,0.8461538461538461,44.0,0.15384615384615385,8.0,0.20833333333333334,10.0,0.4634146341463415,0.7916666666666666,0.5846153846153846,-0.07085547913138367,0.47215544871794873,0.4659813014813647,0.43,0.48583126550868483,0.5141687344913152,0.57,NaN,0.43,NaN,NaN,0.47025614576721103,0.391762560259015,NaN,0.43,0.037,0.0,0.046875,0.0,46.875,0.0,9918.0,93853.0,13053.0,98.0,97.00000000000001,?,7.0,?,?,?,?,?
klienci6,2,5,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,47.0,53.0,0.0,47.0,53.0,0.0,-0.003787878787878791,0.4044041867954911,0.4543011774689835,99.97179716281445,101.11100794589571,143.59181500889196,145.69792146957806,-2.1061064606861066,1.4359181500889195,1.4569792146957807,-0.021061064606861066,1.838542575315807,0.018385425753158068,1.2803951083158567,0.9166666666666666,44.0,0.9230769230769231,48.0,0.07692307692307693,4.0,0.08333333333333333,4.0,0.4782608695652174,0.9166666666666666,0.6285714285714286,-0.01180480411624714,0.49599358974358976,0.4784057971014493,0.47,0.4737220843672456,0.5262779156327544,0.53,NaN,0.47,NaN,NaN,0.4987877257775983,0.39494764679515915,NaN,0.47,0.032,0.0,0.03125,0.0,31.25,0.0,9003.0,93853.0,13053.0,100.0,99.33333333333331,?,5.0,?,?,?,?,?
klienci6,2,6,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,42.0,58.0,0.0,42.0,58.0,0.0,-0.09227871939736344,0.4122992148305042,0.461490065375827,101.92350826542527,102.71099433888857,143.59181500889196,149.49090172030216,-5.899086711410206,1.4359181500889195,1.4949090172030217,-0.05899086711410206,-1.5375146533082553,-0.015375146533082553,-1.070753686909692,0.8333333333333334,40.0,0.9423076923076923,49.0,0.057692307692307696,3.0,0.16666666666666666,8.0,0.449438202247191,0.8333333333333334,0.5839416058394161,-0.17400241166605512,0.44711538461538464,0.4534962601572595,0.42,0.507468982630273,0.49253101736972704,0.58,NaN,0.42,NaN,NaN,0.45222228634081596,0.3773559181787298,NaN,0.42,0.031,0.0,0.03125,0.0,31.25,0.0,8356.0,93853.0,13053.0,100.0,99.66666666666669,?,4.0,?,?,?,?,?
klienci6,2,7,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,51.0,49.0,0.0,51.0,49.0,0.0,0.0847964138961524,0.40041069295101495,0.446626356309832,98.50277580859971,98.85965152233065,145.3359568540911,142.68894055230456,2.6470163017865502,1.453359568540911,1.4268894055230457,0.026470163017865502,3.4857745442197903,0.034857745442197906,2.398425427314802,0.9787234042553191,46.0,0.9056603773584906,48.0,0.09433962264150944,5.0,0.02127659574468085,1.0,0.48936170212765956,0.9787234042553191,0.652482269503546,0.1535482857454279,0.537133681252509,0.4892590293690759,0.51,0.43178940961655504,0.5682105903834449,0.49,NaN,0.51,NaN,NaN,0.5444404962228349,0.417621247349565,NaN,0.51,0.022,0.0,0.0,0.0,0.0,0.0,7658.0,93853.0,13053.0,100.0,100.0,?,3.0,?,?,?,?,?
klienci6,2,8,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,49.0,51.0,0.0,49.0,51.0,0.0,0.06781210016450369,0.4001361783003702,0.45308099839836186,98.43524400796434,100.2883707605898,145.3359568540911,145.66421433436275,-0.32825748027164536,1.453359568540911,1.4566421433436276,-0.0032825748027164535,6.015639898742857,0.06015639898742857,4.139127046710272,0.851063829787234,40.0,0.7735849056603774,41.0,0.22641509433962265,12.0,0.14893617021276595,7.0,0.49382716049382713,0.851063829787234,0.625,0.09857144777319411,0.537133681252509,0.49211856412695015,0.49,0.4248752282410226,0.5751247717589775,0.51,NaN,0.49,NaN,NaN,0.5314917296194194,0.4112380889802384,NaN,0.49,0.062,0.0,0.0625,0.0,62.5,0.0,11424.0,93853.0,13053.0,100.0,99.0,?,9.0,?,?,?,?,?
klienci6,2,9,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,44.0,56.0,0.0,44.0,56.0,0.0,-0.04555638536221056,0.4090861555310482,0.4586346570684624,100.9891371412855,101.91643510645032,143.91164680807393,147.99543821420076,-4.083791406126835,1.4391164680807393,1.4799543821420076,-0.04083791406126835,-0.028030530321758063,-2.803053032175806E-4,-0.019477596805726676,0.8936170212765957,42.0,0.9622641509433962,51.0,0.03773584905660377,2.0,0.10638297872340426,5.0,0.45161290322580644,0.8936170212765957,0.6,-0.13428229414473256,0.4644720995584103,0.4528506757841259,0.44,0.4842313640581503,0.5157686359418497,0.56,NaN,0.44,NaN,NaN,0.4825241513749918,0.38307222929288637,NaN,0.44,0.038,0.0,0.046875,0.0,46.875,0.0,8699.0,93853.0,13053.0,100.0,100.0,?,5.0,?,?,?,?,?
klienci6,2,10,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,51.0,49.0,0.0,51.0,49.0,0.0,0.09057164068299929,0.39919266041884116,0.4456426293903894,98.54677745449456,99.02938519570648,143.91164680807393,141.860630734764,2.0510160733099383,1.4391164680807393,1.4186063073476398,0.020510160733099383,3.8155689650039513,0.038155689650039515,2.651327428760884,0.9574468085106383,45.0,0.8301886792452831,44.0,0.16981132075471697,9.0,0.0425531914893617,2.0,0.5056179775280899,0.9574468085106383,0.6617647058823529,0.2029929955898654,0.5640305098354075,0.5043043391118935,0.51,0.4221558923600371,0.577844107639963,0.49,NaN,0.51,NaN,NaN,0.5362066156424661,0.42083369651571906,NaN,0.51,0.031,0.0,0.03125,0.0,31.25,0.0,8453.0,93853.0,13053.0,100.0,99.66666666666669,?,4.0,?,?,?,?,?
klienci6,3,1,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,49.0,51.0,0.0,49.0,51.0,0.0,0.034090909090909116,0.4011175652481848,0.44811341961298146,99.15931926716806,99.73383688675132,143.59181500889184,143.02937621478765,0.562438794104196,1.4359181500889184,1.4302937621478764,0.005624387941041959,2.5192731816116227,0.025192731816116226,1.7544685130246582,0.9375,45.0,0.9038461538461539,47.0,0.09615384615384616,5.0,0.0625,3.0,0.4891304347826087,0.9375,0.6428571428571429,0.06197522161029749,0.5180288461538461,0.48917202750665484,0.49,0.45836228287841196,0.541637717121588,0.51,NaN,0.49,NaN,NaN,0.519482803393156,0.4142406684412896,NaN,0.49,0.032,0.0,0.03125,0.0,31.25,0.0,7529.0,93853.0,13053.0,100.0,100.0,?,3.0,?,?,?,?,?
klienci6,3,2,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,48.0,52.0,0.0,48.0,52.0,0.0,0.0,0.4043851851851861,0.449306736216893,99.96709981992545,99.9994259950435,143.59181500889184,143.5896430957689,0.0021719131229360755,1.4359181500889184,1.4358964309576892,2.1719131229360755E-5,0.07718393793014316,7.718393793014317E-4,0.053752324201322754,1.0,48.0,1.0,52.0,0.0,0.0,0.0,0.0,0.48,1.0,0.6486486486486487,NaN,0.5,0.48,0.48,0.48,0.52,0.52,NaN,0.48,NaN,NaN,0.5,0.3944,NaN,0.48,0.0,0.0,0.0,0.0,0.0,0.0,6303.0,93853.0,13053.0,100.0,100.0,?,1.0,?,?,?,?,?
klienci6,3,3,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,48.0,52.0,0.0,48.0,52.0,0.0,0.011406844106463887,0.4016649415235981,0.45036639595254324,99.2946348543062,100.23526791944306,143.59181500889184,143.54294967860363,0.0488653302882085,1.4359181500889184,1.4354294967860364,4.88653302882085E-4,2.1689292787688124,0.021689292787688122,1.5104825289899029,0.9375,45.0,0.9423076923076923,49.0,0.057692307692307696,3.0,0.0625,3.0,0.4787234042553192,0.9375,0.6338028169014084,-0.010113917425784186,0.4963942307692308,0.4785821030539875,0.48,0.4706947890818858,0.5293052109181141,0.52,NaN,0.48,NaN,NaN,0.5094432742801085,0.40607047329570123,NaN,0.48,0.037,0.0,0.03125,0.0,31.25,0.0,7672.0,93853.0,13053.0,100.0,98.66666666666669,?,3.0,?,?,?,?,?
klienci6,3,4,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,46.0,54.0,0.0,46.0,54.0,0.0,-0.02857142857142849,0.407305060113621,0.4553165158063475,100.68891515620903,101.33698553034516,143.59181500889184,146.53226830024104,-2.9404532913492005,1.4359181500889184,1.4653226830024104,-0.029404532913492005,-0.0763579693295714,-7.635796932957139E-4,-0.05317710436687702,0.9375,45.0,0.9615384615384616,50.0,0.038461538461538464,2.0,0.0625,3.0,0.47368421052631576,0.9375,0.6293706293706294,-0.055103876877798386,0.4879807692307692,0.47407894736842104,0.46,0.4860545905707196,0.5139454094292804,0.54,NaN,0.46,NaN,NaN,0.48522851866812855,0.3893473684210526,NaN,0.46,0.032,0.0,0.03125,0.0,31.25,0.0,7721.0,93853.0,13053.0,100.0,100.0,?,3.0,?,?,?,?,?
klienci6,3,5,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,47.0,53.0,0.0,47.0,53.0,0.0,0.016697588126159468,0.40018806053563033,0.4511108557683883,98.92953861795739,100.40095774392177,143.59181500889184,144.1334251959315,-0.5416101870396517,1.4359181500889184,1.4413342519593149,-0.005416101870396517,4.462196166999653,0.044621961669996525,3.1075560725542286,0.8125,39.0,0.8076923076923077,42.0,0.19230769230769232,10.0,0.1875,9.0,0.48148148148148145,0.8125,0.6046511627906976,0.006122652986422042,0.5042067307692307,0.4827152123708386,0.47,0.4551116625310174,0.5448883374689827,0.53,NaN,0.47,NaN,NaN,0.5113478129147672,0.4162769234918872,NaN,0.47,0.031,0.0,0.03125,0.0,31.25,0.0,9805.0,93853.0,13053.0,100.0,98.66666666666666,?,7.0,?,?,?,?,?
klienci6,3,6,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,48.0,52.0,0.0,48.0,52.0,0.0,0.03525046382189233,0.40349954332369514,0.4529782036218065,99.74816240180061,100.81656182555022,143.59181500889184,146.72639762282208,-3.1345826139302346,1.4359181500889184,1.4672639762282207,-0.03134582613930235,3.953798148740859,0.03953798148740859,2.753498274602924,0.8333333333333334,40.0,0.7884615384615384,41.0,0.21153846153846154,11.0,0.16666666666666666,8.0,0.49382716049382713,0.8333333333333334,0.6201550387596899,0.05714476120660573,0.5220352564102564,0.49257854102793475,0.48,0.44588089330024816,0.5541191066997518,0.52,NaN,0.48,NaN,NaN,0.5122911016215592,0.40307793833715605,NaN,0.48,0.069,0.0,0.0625,0.0,62.5,0.0,9821.0,93853.0,13053.0,99.0,99.66666666666669,?,7.0,?,?,?,?,?
klienci6,3,7,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,2.0200408145600002E7,900.0,100.0,46.0,54.0,0.0,46.0,54.0,0.0,-0.012753188297074218,0.406264952153111,0.45297740438635864,100.29268019453778,100.65929717112343,143.9116468080738,145.30699957469628,-1.3953527666224659,1.439116468080738,1.4530699957469628,-0.013953527666224659,0.6957524906555259,0.006957524906555259,0.48345808423928927,0.9574468085106383,45.0,0.9622641509433962,51.0,0.03773584905660377,2.0,0.0425531914893617,2.0,0.46875,0.9574468085106383,0.6293706293706293,-0.012269553823333808,0.49759132878362106,0.4687901650021711,0.46,0.4714444788122487,0.5285555211877513,0.54,NaN,0.46,NaN,NaN,0.4918359001287594,0.3900641156462585,NaN,0.46,0.031,0.0,0.03125,0.0,31.25,0.0,7657.0,93853.0,13053.0,100.0,99.33333333333334,?,3.0,?,?,?,?,?
