"iteration";"SVM.kernel_gamma";"SVM.C";"SVM.kernel_type";"accuracy"
71.0;0.12011244339814313;0.001;"anova";0.42699999999999994
52.0;0.7749594937741684;10.000000000000005;"radial";0.397
43.0;2.685795883818439;0.9999999999999998;"radial";0.43200000000000005
53.0;1.4426999059072139;10.000000000000005;"radial";0.42000000000000004
54.0;2.685795883818439;10.000000000000005;"radial";0.43499999999999994
44.0;5.0;0.9999999999999998;"radial";0.44699999999999995
55.0;5.0;10.000000000000005;"radial";0.441
72.0;0.223606797749979;0.001;"anova";0.4659999999999999
45.0;0.01;10.000000000000005;"radial";0.41900000000000004
84.0;0.4162766037009365;0.010000000000000002;"anova";0.40700000000000003
101.0;0.018616455666360693;0.9999999999999998;"anova";0.47000000000000003
76.0;2.685795883818439;0.001;"anova";0.41899999999999993
92.0;0.0645195012148216;0.10000000000000003;"anova";0.41900000000000004
56.0;0.01;100.0;"radial";0.37
46.0;0.018616455666360693;10.000000000000005;"radial";0.324
73.0;0.4162766037009365;0.001;"anova";0.44400000000000006
102.0;0.034657242157757326;0.9999999999999998;"anova";0.473
93.0;0.12011244339814313;0.10000000000000003;"anova";0.398
57.0;0.018616455666360693;100.0;"radial";0.34800000000000003
77.0;5.0;0.001;"anova";0.4680000000000001
47.0;0.034657242157757326;10.000000000000005;"radial";0.343
85.0;0.7749594937741684;0.010000000000000002;"anova";0.3590000000000001
74.0;0.7749594937741684;0.001;"anova";0.425
78.0;0.01;0.010000000000000002;"anova";0.475
62.0;0.4162766037009365;100.0;"radial";0.4010000000000001
63.0;0.7749594937741684;100.0;"radial";0.393
64.0;1.4426999059072139;100.0;"radial";0.41400000000000003
65.0;2.685795883818439;100.0;"radial";0.43599999999999994
66.0;5.0;100.0;"radial";0.441
48.0;0.0645195012148216;10.000000000000005;"radial";0.37799999999999995
49.0;0.12011244339814313;10.000000000000005;"radial";0.40499999999999997
58.0;0.034657242157757326;100.0;"radial";0.353
94.0;0.223606797749979;0.10000000000000003;"anova";0.39499999999999996
103.0;0.0645195012148216;0.9999999999999998;"anova";0.477
79.0;0.018616455666360693;0.010000000000000002;"anova";0.404
60.0;0.12011244339814313;100.0;"radial";0.353
61.0;0.223606797749979;100.0;"radial";0.386
86.0;1.4426999059072139;0.010000000000000002;"anova";0.418
95.0;0.4162766037009365;0.10000000000000003;"anova";0.45
81.0;0.0645195012148216;0.010000000000000002;"anova";0.43199999999999994
59.0;0.0645195012148216;100.0;"radial";0.369
80.0;0.034657242157757326;0.010000000000000002;"anova";0.48199999999999993
104.0;0.12011244339814313;0.9999999999999998;"anova";0.484
89.0;0.01;0.10000000000000003;"anova";0.42700000000000005
96.0;0.7749594937741684;0.10000000000000003;"anova";0.41000000000000003
82.0;0.12011244339814313;0.010000000000000002;"anova";0.4600000000000001
87.0;2.685795883818439;0.010000000000000002;"anova";0.388
88.0;5.0;0.010000000000000002;"anova";0.46099999999999997
90.0;0.018616455666360693;0.10000000000000003;"anova";0.441
97.0;1.4426999059072139;0.10000000000000003;"anova";0.434
