"iteration";"Decision Tree.minimal_leaf_size";"accuracy"
9.0;80.0;0.7512820512820513
4.0;31.0;0.941025641025641
2.0;11.0;0.9384615384615385
6.0;51.0;0.9384615384615385
7.0;60.0;0.9384615384615385
3.0;21.0;0.9384615384615385
8.0;70.0;0.8282051282051281
10.0;90.0;0.7512820512820513
11.0;100.0;0.7512820512820513
1.0;1.0;0.941025641025641
5.0;41.0;0.9384615384615387
