"word";"in documents";"total";"in class (unknown)";"in class (food/beverage/hospitality)"
"answer_phone";8;8;0.0;0.0
"answer_question";4;4;0.0;0.0
"answer_ye";3;3;0.0;0.0
"anticip";6;6;0.0;0.0
"ap";3;3;0.0;0.0
"appear";4;4;0.0;0.0
"appli";108;128;0.0;0.0
"appli_appli";5;5;0.0;0.0
"appli_appli_onlin";3;3;0.0;0.0
"appli_appli_onlin_websit";3;3;0.0;0.0
"appli_believ";3;3;0.0;0.0
"appli_believ_uniqu";3;3;0.0;0.0
"appli_believ_uniqu_skill";3;3;0.0;0.0
"appli_email";5;5;0.0;0.0
"appli_http";3;3;0.0;0.0
"appli_http_www";3;3;0.0;0.0
"appli_onlin";6;6;0.0;0.0
"appli_onlin_websit";3;3;0.0;0.0
"appli_onlin_websit_www";3;3;0.0;0.0
"appli_person";16;16;0.0;0.0
"appli_person_hire";9;9;0.0;0.0
"appli_person_hire_hall";9;9;0.0;0.0
"appli_pleas";7;7;0.0;0.0
"appli_pleas_click";3;3;0.0;0.0
"appli_posit";13;13;0.0;0.0
"appli_posit_pleas";7;7;0.0;0.0
"appli_posit_pleas_send";4;4;0.0;0.0
"appli_resum";3;3;0.0;0.0
"appli_www";3;3;0.0;0.0
"applianc";3;3;0.0;0.0
"applic";105;171;0.0;0.0
"applic_abl";5;5;0.0;0.0
"applic_appli";4;4;0.0;0.0
"applic_http";3;6;0.0;0.0
"applic_http_www";3;6;0.0;0.0
"applic_http_www_howesound";3;6;0.0;0.0
"applic_includ";3;3;0.0;0.0
"applic_interest";11;11;0.0;0.0
"applic_interest_list";4;4;0.0;0.0
"applic_interest_list_candid";4;4;0.0;0.0
"applic_interest_select";3;3;0.0;0.0
"applic_interest_select_interview";3;3;0.0;0.0
"applic_minimum";5;5;0.0;0.0
"applic_minimum_year";5;5;0.0;0.0
"applic_pleas";4;4;0.0;0.0
"applic_posit";3;3;0.0;0.0
"applic_solut";3;3;0.0;0.0
"applic_us";3;3;0.0;0.0
"appoint";16;19;0.0;0.0
"appoint_activ";3;3;0.0;0.0
"appoint_activ_commun";3;3;0.0;0.0
"appoint_activ_commun_prepar";3;3;0.0;0.0
"appoint_schedul";3;3;0.0;0.0
"appreci";4;4;0.0;0.0
"apprentic";4;4;0.0;0.0
"approach";8;8;0.0;0.0
"appropri";9;14;0.0;0.0
"approv";3;4;0.0;0.0
"approx";5;5;0.0;0.0
"approxim";7;7;0.0;0.0
"aptitud";4;5;0.0;0.0
"architectur";4;4;0.0;0.0
"area";47;58;0.0;0.0
"area_account";3;3;0.0;0.0
"area_account_financ";3;3;0.0;0.0
"area_account_financ_inform";3;3;0.0;0.0
"area_busi";3;3;0.0;0.0
"area_busi_includ";3;3;0.0;0.0
"area_busi_includ_demolit";3;3;0.0;0.0
"arena";3;3;0.0;0.0
"arrang";6;7;0.0;0.0
"art";8;8;0.0;0.0
"art_therapist";3;3;0.0;0.0
"articl";3;3;0.0;0.0
"artist";5;5;0.0;0.0
"asap";9;10;0.0;0.0
"ask";16;17;0.0;0.0
"asp";4;4;0.0;0.0
"asp_net";3;3;0.0;0.0
"aspect";8;8;0.0;0.0
"assess";9;10;0.0;0.0
"asset";89;112;0.0;0.0
"asset_demonstr";3;3;0.0;0.0
"asset_excel";3;3;0.0;0.0
"asset_includ";4;4;0.0;0.0
"asset_includ_knowledg";3;3;0.0;0.0
"asset_includ_knowledg_augment";3;3;0.0;0.0
"asset_knowledg";3;3;0.0;0.0
"asset_minimum";4;4;0.0;0.0
"asset_pleas";9;9;0.0;0.0
"asset_pleas_email";3;3;0.0;0.0
"asset_pleas_email_resum";3;3;0.0;0.0
"asset_requir";6;6;0.0;0.0
"asset_train";4;4;0.0;0.0
"asset_will";3;3;0.0;0.0
"assign";17;19;0.0;0.0
"assist";63;89;0.0;0.0
"assist_basic";3;3;0.0;0.0
"assist_individu";3;3;0.0;0.0
"assist_manag";5;8;0.0;0.0
"assist_prepar";3;4;0.0;0.0
"assist_requir";4;4;0.0;0.0
"associ";16;23;0.0;0.0
"associ_experi";3;3;0.0;0.0
"associ_experi_merchandis";3;3;0.0;0.0
"associ_experi_merchandis_plan";3;3;0.0;0.0
"assur";5;6;0.0;0.0
"athlet";3;4;0.0;0.0
"atmospher";15;15;0.0;0.0
"attach";10;12;0.0;0.0
"attend";12;12;0.0;0.0
"attent";26;26;0.0;0.0
"attent_detail";17;17;0.0;0.0
"attitud";34;35;0.0;0.0
"attract";7;8;0.0;0.0
"attribut";4;5;0.0;0.0
"audienc";4;4;0.0;0.0
"audit";5;17;0.0;0.0
